snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
136255,MM,,166,16,1.1867469879518072,7.6405027289156627,22,23,0.00011909561943353532,1
48004,UA,,165,10,0.47878787878787878788,7.5699795212121212,9,20,0.00011837817594297185,1
262210,PE,,165,14,0.93333333333333333333,2.4940782242424242,15,24,0.00011837817594297185,1
12083,US,,165,10,0.00000000000000000000,31.6050164000000000,0,0,0.00011837817594297185,1
64026,ID,,165,11,2.1818181818181818,4.9085608060606061,30,38,0.00011837817594297185,1
208397,RU,,164,9,0.81707317073170731707,3.3234098292682927,10,20,0.00011766073245240839,1
149526,IN,,164,15,1.5426829268292683,4.5718771524390244,32,27,0.00011766073245240839,1
37705,TN,,163,21,1.2147239263803681,5.1736046257668712,19,28,0.00011694328896184492,1
209847,GB,,163,8,1.0429447852760736,2.4087192576687117,19,32,0.00011694328896184492,1
137693,CN,,162,9,0.77777777777777777778,77.4954826975308642,9,13,0.00011622584547128145,1
267339,BR,,162,6,1.7160493827160494,2.9512003518518519,28,25,0.00011622584547128145,1
63199,US,,161,9,0.54037267080745341615,2.7024484844720497,7,14,0.00011550840198071799,1
135597,BD,,160,3,0.99375000000000000000,4.0320193312500000,23,22,0.00011479095849015452,1
270035,CO,,160,6,1.1875000000000000,2.2308680687500000,13,24,0.00011479095849015452,1
31363,RU,,160,26,1.4375000000000000,4.6738945562500000,20,21,0.00011479095849015452,1
9123,XX,,159,8,1.0062893081761006,2.5483368050314465,14,20,0.00011407351499959106,1
14593,XX,,157,4,1.0509554140127389,9.7693376624203822,22,21,0.00011263862801846413,1
30844,GB,,157,35,0.00000000000000000000,16.9678538853503185,0,0,0.00011263862801846413,1
132116,IN,,157,11,0.00000000000000000000,13.8602204649681529,0,0,0.00011263862801846413,1
132787,IN,,157,9,1.3248407643312102,3.9199578853503185,30,38,0.00011263862801846413,1
31200,RU,,157,26,0.56050955414012738854,6.9543699490445860,5,14,0.00011263862801846413,1
262663,BR,,156,9,1.6282051282051282,3.9873520961538462,26,37,0.00011192118452790066,1
134319,IN,,156,13,1.1730769230769231,3.7767206858974359,20,34,0.00011192118452790066,1
17621,CN,,155,10,0.41290322580645161290,51.8580857935483871,4,7,0.00011120374103733719,1
3549,US,,155,21,1.1548387096774194,4.6673105032258065,16,27,0.00011120374103733719,1
18126,JP,,155,18,0.70322580645161290323,6.2976578258064516,8,24,0.00011120374103733719,1
210218,IT,,155,6,1.3612903225806452,2.7146641096774194,20,17,0.00011120374103733719,1
146943,US,,154,2,1.2012987012987013,5.9010661883116883,30,27,0.00011048629754677373,1
26383,US,,154,4,0.83766233766233766234,2.3905970714285714,21,24,0.00011048629754677373,1
55577,IN,,154,16,1.0714285714285714,4.0672366298701299,20,33,0.00011048629754677373,1
132585,HK,,154,12,1.5389610389610390,4.1744154090909091,28,35,0.00011048629754677373,1
2914,US,,154,3,0.92207792207792207792,5.6432355259740260,13,22,0.00011048629754677373,1
136336,IN,,152,5,0.93421052631578947368,3.5717182105263158,13,25,0.00010905141056564680,1
10099,HK,,152,13,0.63815789473684210526,3.0548698750000000,15,19,0.00010905141056564680,1
51396,KN,,152,30,0.03289473684210526316,3.6105053684210526,0,0,0.00010905141056564680,1
138152,ZA,,151,5,0.57615894039735099338,2.7332797019867550,7,19,0.00010833396707508333,1
211056,IR,,151,4,0.74172185430463576159,2.8059819668874172,14,31,0.00010833396707508333,1
141995,XX,,151,5,1.2185430463576159,4.0450097814569536,22,24,0.00010833396707508333,1
138915,HK,,150,10,0.73333333333333333333,5.1247405200000000,13,19,0.00010761652358451987,1
10299,CO,,150,6,1.3733333333333333,2.2648170133333333,17,18,0.00010761652358451987,1
151863,VN,,150,5,1.3866666666666667,4.2364068933333333,16,21,0.00010761652358451987,1
137378,ID,,150,16,0.97333333333333333333,4.3850678133333333,17,21,0.00010761652358451987,1
23470,US,,150,11,0.00000000000000000000,6.2629907466666667,0,0,0.00010761652358451987,1
206011,RU,,149,2,0.00000000000000000000,38.6879258053691275,0,0,0.00010689908009395640,1
48832,JO,,149,11,2.0738255033557047,3.8312197449664430,31,41,0.00010689908009395640,1
19318,US,,148,9,1.5472972972972973,3.6034246554054054,22,34,0.00010618163660339293,1
8560,XX,,148,6,0.93918918918918918919,2.2359899797297297,15,28,0.00010618163660339293,1
147293,HK,,148,10,1.1824324324324324,4.8039074121621622,25,29,0.00010618163660339293,1
153897,IN,,148,3,0.00000000000000000000,19.7081316418918919,0,0,0.00010618163660339293,1
397031,US,,147,6,1.1360544217687075,1.4230751972789116,18,25,0.00010546419311282947,1
137982,MN,,147,16,1.7278911564625850,4.1864493265306122,25,33,0.00010546419311282947,1
55967,CN,,147,10,0.98639455782312925170,3.3968859863945578,20,43,0.00010546419311282947,1
46558,US,,145,16,1.2689655172413793,2.2043609931034483,20,25,0.00010402930613170254,1
14868,BR,,145,7,1.2275862068965517,2.8028438965517241,17,23,0.00010402930613170254,1
38283,CN,,145,11,0.46206896551724137931,47.3745822620689655,5,14,0.00010402930613170254,1
16135,TR,,144,81,0.02777777777777777778,26.1394997500000000,2,0,0.00010331186264113907,1
41727,RU,,144,8,1.0277777777777778,3.0926476736111111,10,17,0.00010331186264113907,1
46887,US,,143,11,0.71328671328671328671,1.5631717762237762,9,11,0.00010259441915057560,1
149111,XX,,142,4,0.89436619718309859155,3.6298164647887324,11,20,0.00010187697566001214,1
19037,AR,,142,11,0.80281690140845070423,3.2223174436619718,8,14,0.00010187697566001214,1
9848,KR,,142,7,1.4225352112676056,3.5081404577464789,19,22,0.00010187697566001214,1
268137,BR,,142,4,1.3098591549295775,2.7712813873239437,15,24,0.00010187697566001214,1
131761,ID,,141,3,1.4893617021276596,5.2682443900709220,29,27,0.00010115953216944867,1
37098,MW,,141,5,0.87943262411347517730,5.7886502765957447,10,12,0.00010115953216944867,1
135310,BD,,141,14,0.78723404255319148936,4.1349568226950355,15,35,0.00010115953216944867,1
28598,BR,,141,8,1.4255319148936170,2.5112248936170213,28,27,0.00010115953216944867,1
262434,BR,,141,4,0.78014184397163120567,2.4039962978723404,5,25,0.00010115953216944867,1
47895,RU,,141,9,1.3687943262411348,3.0405873546099291,15,25,0.00010115953216944867,1
